target,partner_name,days,lead_days,country_code,pickup_country_code,flight_type,pax
E,Lufthansa,7,23,DE,ES,International,2
medium car,Scandinavian Airlines (SAS),5,38,NO,NO,Domestic,1
I,Lufthansa,10,22,SE,US,International,1
I,Scandinavian Airlines (SAS),2,35,SE,US,International,1
E,Scandinavian Airlines (SAS),4,24,NO,ES,International,1
S,Scandinavian Airlines (SAS),5,31,SE,NO,International,5
C,Scandinavian Airlines (SAS),9,70,NO,DK,International,1
M,Scandinavian Airlines (SAS),3,19,NO,NO,Domestic,1
C,Lufthansa,10,8,GB,DE,International,1
C,Lufthansa,7,5,DE,GB,International,2
M,Scandinavian Airlines (SAS),3,33,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),7,0,NO,ES,International,1
I,Lufthansa,7,27,DE,US,International,1
C,Scandinavian Airlines (SAS),4,28,GB,NO,International,1
M,Lufthansa,2,1,DE,ES,International,1
E,Lufthansa,4,10,IT,DE,International,2
E,Travelstart,8,7,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),8,163,DK,IT,International,5
C,Scandinavian Airlines (SAS),3,11,NO,ES,International,1
C,FreeNow,1,0,DE,DE,Domestic,1
E,Travelstart,3,32,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),4,22,NO,NO,Domestic,1
E,Lufthansa,7,12,DE,ES,International,1
medium car,Scandinavian Airlines (SAS),5,16,SE,US,International,1
medium car,Scandinavian Airlines (SAS),8,3,DK,ES,International,2
C,Scandinavian Airlines (SAS),3,5,NO,DE,International,1
E,Scandinavian Airlines (SAS),21,132,DK,ES,International,1
M,Travelstart,10,279,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),5,6,DK,ES,International,2
large car,Scandinavian Airlines (SAS),6,6,SE,SE,Domestic,2
I,Scandinavian Airlines (SAS),4,2,DK,FR,International,2
I,Scandinavian Airlines (SAS),4,12,SE,SE,Domestic,1
C,Lufthansa,7,119,DE,ES,International,3
E,Scandinavian Airlines (SAS),1,26,SE,DK,International,2
I,Scandinavian Airlines (SAS),3,49,SE,NO,International,3
E,Scandinavian Airlines (SAS),7,81,SE,ES,International,1
C,Scandinavian Airlines (SAS),4,5,NO,NO,Domestic,1
small car,Lufthansa,6,27,GB,IT,International,1
C,Scandinavian Airlines (SAS),2,5,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),8,10,NO,ES,International,1
C,Scandinavian Airlines (SAS),8,59,SE,ES,International,6
C,Scandinavian Airlines (SAS),3,37,NO,NO,Domestic,1
medium car,Lufthansa,9,166,US,DE,International,2
E,Scandinavian Airlines (SAS),5,205,NO,GB,International,1
C,Scandinavian Airlines (SAS),14,202,SE,FR,International,1
E,Scandinavian Airlines (SAS),12,15,NO,US,International,4
E,Scandinavian Airlines (SAS),3,3,GB,ES,International,1
C,Scandinavian Airlines (SAS),3,3,SE,NO,International,1
large car,Scandinavian Airlines (SAS),19,65,NO,US,International,1
medium car,Scandinavian Airlines (SAS),2,20,SE,SE,Domestic,1
S,Scandinavian Airlines (SAS),8,18,DK,US,International,1
C,Scandinavian Airlines (SAS),1,8,SE,NO,International,1
C,Scandinavian Airlines (SAS),7,69,US,DK,International,1
E,FreeNow,2,0,IT,IT,Domestic,1
I,Scandinavian Airlines (SAS),11,103,SE,US,International,3
C,Lufthansa,4,17,DE,GB,International,1
S,Scandinavian Airlines (SAS),3,157,DK,SE,International,1
C,Scandinavian Airlines (SAS),29,19,DK,IT,International,3
E,Scandinavian Airlines (SAS),2,16,SE,DE,International,1
C,Scandinavian Airlines (SAS),4,17,SE,SE,Domestic,3
E,Lufthansa,3,1,DE,FR,International,1
C,Lufthansa,11,187,US,DE,International,2
C,Scandinavian Airlines (SAS),4,8,SE,SE,Domestic,1
M,Lufthansa,7,49,DE,IT,International,2
F,Lufthansa,5,56,DE,IT,International,1
E,Scandinavian Airlines (SAS),5,69,SE,ES,International,1
C,Lufthansa,4,6,DE,GB,International,1
medium car,Lufthansa,4,27,DE,IT,International,2
C,Scandinavian Airlines (SAS),9,61,NO,IT,International,4
E,Lufthansa,7,109,DE,ES,International,2
F,Lufthansa,6,14,DE,IT,International,2
C,Lufthansa,13,269,US,IT,International,3
C,Scandinavian Airlines (SAS),13,20,NO,ES,International,1
C,Scandinavian Airlines (SAS),2,7,SE,SE,Domestic,1
F,Lufthansa,2,8,SE,DE,International,1
I,Lufthansa,3,28,DE,DE,Domestic,3
I,Scandinavian Airlines (SAS),6,68,NO,US,International,1
M,Scandinavian Airlines (SAS),2,9,NO,NO,Domestic,1
